Company,Breakdown,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,Research & Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Unusual Items Excluding Goodwill,Total Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings
"Salesforce, Inc.",1/31/2022,"26,492,000",,"7,026,000","19,466,000","18,918,000",,,"548,000",,,,"984,000",,"1,532,000","88,000","1,444,000",,,,"1,444,000",1.51,1.48,"955,000","974,000","548,000","25,944,000","1,444,000","305,660",,,,"548,000",-,"7,026,000","3,298,000","1,444,000","2,635,000",0,"72,660","1,211,000","1,211,000",,
"Salesforce, Inc.",1/31/2021,"21,252,000",,"5,438,000","15,814,000","15,359,000",,,"455,000",,,,"2,106,000",,"2,561,000","-1,511,000","4,072,000",,,,"4,072,000",4.48,4.38,"908,000","930,000","455,000","20,797,000","4,072,000","2,487,900",,,,"455,000",-,"5,438,000","2,846,000","4,072,000","1,131,000",0,"585,900","2,170,000","2,170,000",,
"Salesforce, Inc.",1/31/2020,"17,098,000",,"4,235,000","12,863,000","12,400,000",,,"463,000",,,,"243,000",,"706,000","580,000","126,000",,,,"126,000",0.15,0.15,"829,000","850,000","297,000","16,635,000","126,000","-64,530",,,,"463,000",-,"4,235,000","2,135,000","126,000","2,337,000",0,"70,470","261,000","261,000",,
Accenture plc,ttm,"63,144,419",,"42,862,720","20,281,699","10,872,711",,,"9,408,988","82,943",,,"-203,822",,"9,288,109","2,229,425","6,939,801",,,,"6,947,149",-,-,-,-,"9,408,988","53,735,431","6,939,801","7,012,982","126,778","43,835","82,943","9,331,944","11,429,740","42,862,720","2,097,796","6,939,801","11,526,034",0,"-23,113","-96,294","-96,294",,-
Accenture plc,8/31/2022,"61,594,305",,"41,892,766","19,701,539","10,334,358",,,"9,367,181","-2,187",,,"-168,827",,"9,196,167","2,207,207","6,877,169",,,,"6,884,517",10.87,10.71,"632,763","642,839","9,367,181","52,227,124","6,877,169","6,950,352","45,133","47,320","-2,187","9,243,487",-,"41,892,766","2,088,216","6,877,169","11,427,997",0,"-23,111","-96,294","-96,294",,"7,348"
Accenture plc,8/31/2021,"50,533,389",,"34,169,261","16,364,128","8,742,599",,,"7,621,529","-26,127",,,"165,714",,"7,761,116","1,770,571","5,906,809",,,,"5,913,348",9.31,9.16,"634,745","645,909","7,621,529","42,911,860","5,906,809","5,906,809","33,365","59,492","-26,127","7,820,608",-,"34,169,261","1,891,242","5,906,809","9,711,850",0,0,-,-,,"6,539"
Accenture plc,8/31/2020,"44,327,039",,"30,350,881","13,976,158","7,462,514",,,"6,513,644","36,260",,,"224,427",,"6,774,331","1,589,018","5,107,839",,,,"5,114,164",8.03,7.89,"636,300","647,797","6,513,644","37,813,395","5,107,839","5,107,839","69,331","33,071","36,260","6,807,402",-,"30,350,881","1,773,124","5,107,839","8,580,526",0,0,-,-,,"6,325"
Accenture plc,8/31/2019,"43,215,013",,"29,900,325","13,314,688","7,009,614",,,"6,305,074","64,545",,,"-117,822",,"6,251,797","1,405,556","4,779,112",,,,"4,785,806",7.49,7.36,"638,098","650,205","6,305,074","36,909,939","4,779,112","4,779,112","87,508","22,963","64,545","6,274,760",-,"29,900,325","892,760","4,779,112","7,167,520",0,0,0,0,,"6,694"
Adobe Inc.,ttm,"17,606,000",,"2,165,000","15,441,000","9,343,000",,,"6,098,000","-51,000",,,"-39,000",,"6,008,000","1,252,000","4,756,000",,,,"4,756,000",-,-,-,-,"6,098,000","11,508,000","4,756,000","4,787,600","61,000","112,000","-51,000","6,120,000","6,976,000","1,478,000","856,000","4,756,000","7,016,000",0,"-8,400","-40,000","-40,000",,
Adobe Inc.,11/30/2022,"17,606,000",,"2,165,000","15,441,000","9,343,000",,,"6,098,000","-51,000",,,"-39,000",,"6,008,000","1,252,000","4,756,000",,,,"4,756,000",-,-,-,-,"6,098,000","11,508,000","4,756,000","4,787,600","61,000","112,000","-51,000","6,120,000",-,"1,478,000","856,000","4,756,000","7,016,000",0,"-8,400","-40,000","-40,000",,
Adobe Inc.,11/30/2021,"15,785,000",,"1,865,000","13,920,000","8,118,000",,,"5,802,000","-96,000",,,"-1,000",,"5,705,000","883,000","4,822,000",,,,"4,822,000",10.10,10.02,"477,000","481,000","5,802,000","9,983,000","4,822,000","4,822,850","17,000","113,000","-96,000","5,818,000",-,"1,249,000","788,000","4,822,000","6,607,000",0,-150,"-1,000","-1,000",,
Adobe Inc.,11/30/2020,"12,868,000",,"1,722,000","11,146,000","6,909,000",,,"4,237,000","-73,000",,,"12,000",,"4,176,000","-1,084,000","5,260,000",,,,"5,260,000",10.94,10.83,"481,000","485,000","4,237,000","8,631,000","5,260,000","5,251,240","43,000","116,000","-73,000","4,292,000",-,"1,127,000","757,000","5,260,000","5,037,000",0,"3,240","12,000","12,000",,
Adobe Inc.,11/30/2019,"11,171,297",,"1,672,720","9,498,577","6,230,456",,,"3,268,121","-88,893",,,"25,513",,"3,204,741","253,283","2,951,458",,,,"2,951,458",6.07,6.00,"486,291","491,572","3,268,121","7,903,176","2,951,458","2,928,271","68,321","157,214","-88,893","3,361,955",-,"1,111,295","736,669","2,951,458","4,073,421",0,"2,016","25,203","25,203",,
Texas Instruments Incorporated,ttm,"20,028,000",,"6,257,000","13,771,000","3,374,000",,,"10,397,000","-214,000",,,"-151,000",,"10,032,000","1,283,000","8,749,000",,,,"8,710,000",-,-,-,-,"10,140,000","9,631,000","8,749,000","8,973,132",,"214,000","-214,000","10,246,000","11,225,000","6,257,000","979,000","8,749,000","11,482,000",0,"-32,868","-257,000","-257,000",,"-39,000"
Texas Instruments Incorporated,12/31/2022,"20,028,000",,"6,257,000","13,771,000","3,374,000",,,"10,397,000","-214,000",,,"-151,000",,"10,032,000","1,283,000","8,709,000",,,,"8,710,000",-,-,-,-,"10,140,000","9,631,000","8,749,000","8,973,104",,"214,000","-214,000","10,246,000",-,"6,257,000","979,000","8,749,000","11,482,000",0,"-32,896","-257,000","-257,000",,"1,000"
